Number of nodes 269 
     0 :  0.0000000e+00  0.0000000e+00 
     1 :  0.0000000e+00 -2.0000000e+01 
     2 : -4.0000000e+00  0.0000000e+00 
     3 :  1.2000000e+01 -2.0000000e+01 
     4 : -4.0000000e+00  1.0000000e+00 
     5 :  1.2000000e+01 -1.2800000e+01 
     6 :  9.0000000e+00  7.0000000e+00 
     7 :  1.7000000e+01 -1.2800000e+01 
     8 :  1.1000000e+01  7.0000000e+00 
     9 :  1.7000000e+01 -2.0000000e+01 
    10 :  2.4000000e+01  1.0000000e+00 
    11 :  2.0000000e+01 -2.0000000e+01 
    12 :  2.4000000e+01  0.0000000e+00 
    13 :  2.0000000e+01  0.0000000e+00 
    14 :  4.0000000e+00 -8.0000000e+00 
    15 :  8.0000000e+00 -8.0000000e+00 
    16 :  8.0000000e+00 -4.0000000e+00 
    17 :  4.0000000e+00 -4.0000000e+00 
    18 :  0.0000000e+00 -1.8181818e+00 
    19 :  0.0000000e+00 -3.6363636e+00 
    20 :  0.0000000e+00 -5.4545455e+00 
    21 :  0.0000000e+00 -7.2727273e+00 
    22 :  0.0000000e+00 -9.0909091e+00 
    23 :  0.0000000e+00 -1.0909091e+01 
    24 :  0.0000000e+00 -1.2727273e+01 
    25 :  0.0000000e+00 -1.4545455e+01 
    26 :  0.0000000e+00 -1.6363636e+01 
    27 :  0.0000000e+00 -1.8181818e+01 
    28 : -2.6666667e+00  0.0000000e+00 
    29 : -1.3333333e+00  0.0000000e+00 
    30 :  1.7142857e+00 -2.0000000e+01 
    31 :  3.4285714e+00 -2.0000000e+01 
    32 :  5.1428571e+00 -2.0000000e+01 
    33 :  6.8571429e+00 -2.0000000e+01 
    34 :  8.5714286e+00 -2.0000000e+01 
    35 :  1.0285714e+01 -2.0000000e+01 
    36 :  1.2000000e+01 -1.8200000e+01 
    37 :  1.2000000e+01 -1.6400000e+01 
    38 :  1.2000000e+01 -1.4600000e+01 
    39 :  7.3750000e+00  6.2500000e+00 
    40 :  5.7500000e+00  5.5000000e+00 
    41 :  4.1250000e+00  4.7500000e+00 
    42 :  2.5000000e+00  4.0000000e+00 
    43 :  8.7500000e-01  3.2500000e+00 
    44 : -7.5000000e-01  2.5000000e+00 
    45 : -2.3750000e+00  1.7500000e+00 
    46 :  1.3666667e+01 -1.2800000e+01 
    47 :  1.5333333e+01 -1.2800000e+01 
    48 :  1.0000000e+01  7.0000000e+00 
    49 :  1.7000000e+01 -1.4600000e+01 
    50 :  1.7000000e+01 -1.6400000e+01 
    51 :  1.7000000e+01 -1.8200000e+01 
    52 :  2.2375000e+01  1.7500000e+00 
    53 :  2.0750000e+01  2.5000000e+00 
    54 :  1.9125000e+01  3.2500000e+00 
    55 :  1.7500000e+01  4.0000000e+00 
    56 :  1.5875000e+01  4.7500000e+00 
    57 :  1.4250000e+01  5.5000000e+00 
    58 :  1.2625000e+01  6.2500000e+00 
    59 :  1.8500000e+01 -2.0000000e+01 
    60 :  2.0000000e+01 -1.8181818e+01 
    61 :  2.0000000e+01 -1.6363636e+01 
    62 :  2.0000000e+01 -1.4545455e+01 
    63 :  2.0000000e+01 -1.2727273e+01 
    64 :  2.0000000e+01 -1.0909091e+01 
    65 :  2.0000000e+01 -9.0909091e+00 
    66 :  2.0000000e+01 -7.2727273e+00 
    67 :  2.0000000e+01 -5.4545455e+00 
    68 :  2.0000000e+01 -3.6363636e+00 
    69 :  2.0000000e+01 -1.8181818e+00 
    70 :  2.1333333e+01  0.0000000e+00 
    71 :  2.2666667e+01  0.0000000e+00 
    72 :  5.3333333e+00 -8.0000000e+00 
    73 :  6.6666667e+00 -8.0000000e+00 
    74 :  8.0000000e+00 -6.6666667e+00 
    75 :  8.0000000e+00 -5.3333333e+00 
    76 :  6.6666667e+00 -4.0000000e+00 
    77 :  5.3333333e+00 -4.0000000e+00 
    78 :  4.0000000e+00 -5.3333333e+00 
    79 :  4.0000000e+00 -6.6666667e+00 
    80 :  9.1601178e+00 -4.6602323e+00 
    81 :  5.8201006e+00 -9.0852395e+00 
    82 :  9.1727524e+00 -3.3084353e+00 
    83 :  1.8575321e+01 -1.0057901e+00 
    84 :  1.0359987e+01 -3.9809903e+00 
    85 :  1.4500000e+01 -1.1356624e+01 
    86 :  5.8261164e+00 -1.8563816e+01 
    87 :  1.0368706e+01 -2.5953420e+00 
    88 :  1.1592262e+01 -3.2955788e+00 
    89 :  6.0000000e+00 -2.8452995e+00 
    90 :  1.1605905e+01 -1.8630972e+00 
    91 :  1.0341313e+01 -1.1456349e+00 
    92 :  1.0509442e+01 -1.3720457e+01 
    93 :  1.1579145e+01 -4.6883190e+00 
    94 :  1.6478972e+00 -1.3594164e+01 
    95 :  1.2821293e+01 -4.0205195e+00 
    96 :  8.6937170e+00  5.5281964e+00 
    97 :  5.5870191e+00  3.7177087e+00 
    98 :  1.2828816e+01 -5.4645570e+00 
    99 :  1.1608794e+01 -3.8166607e-01 
   100 :  1.2903389e+01 -1.1311269e+00 
   101 :  1.0298467e+01  3.5534015e-01 
   102 :  1.4116917e+01 -4.7538022e+00 
   103 :  1.4102484e+01 -6.2652799e+00 
   104 :  1.2805017e+01 -6.9163310e+00 
   105 :  1.3303046e+00 -9.3595326e-01 
   106 :  1.2913913e+01  3.8760971e-01 
   107 :  1.0466519e+01 -1.2073779e+01 
   108 :  9.0463269e+00 -1.2867471e+01 
   109 :  9.0344883e+00 -1.4534332e+01 
   110 :  7.5950216e+00 -1.3671068e+01 
   111 :  9.0380411e+00 -4.2052252e-01 
   112 :  1.4243585e+01 -3.9239838e-01 
   113 :  1.8362140e+01 -8.3679783e+00 
   114 :  8.9862362e+00  1.0625603e+00 
   115 :  1.0258864e+01  1.8768479e+00 
   116 :  7.6878874e+00  2.5425039e-01 
   117 :  1.5464537e+01 -5.5187621e+00 
   118 :  1.5457741e+01 -3.9995875e+00 
   119 :  9.1735261e+00 -7.3238292e+00 
   120 :  9.1678991e+00 -8.6771436e+00 
   121 :  1.1332331e+01  5.4977585e+00 
   122 :  1.4224516e+01  1.1130049e+00 
   123 :  1.4087450e+01 -7.7904981e+00 
   124 :  1.2672516e+01 -8.3211686e+00 
   125 :  2.4371873e+00  2.4616084e+00 
   126 :  1.7107723e+00 -1.7238394e+01 
   127 :  1.5583103e+01  3.4224887e-01 
   128 :  1.0288260e+01 -1.7338380e+01 
   129 :  1.8504700e+00 -9.8869282e+00 
   130 :  7.5685268e+00 -1.2056671e+01 
   131 :  6.1546818e+00 -1.2818063e+01 
   132 :  6.1364536e+00 -1.4477581e+01 
   133 :  8.8367497e+00  2.5001104e+00 
   134 :  1.2915437e+01  1.8411002e+00 
   135 :  1.8311559e+01  5.3471791e-01 
   136 :  1.6839921e+01 -4.7324423e+00 
   137 :  2.8452995e+00 -4.6666667e+00 
   138 :  2.7582957e+00 -3.2407108e+00 
   139 :  4.7256100e+00 -1.3608786e+01 
   140 :  4.7466803e+00 -1.1961767e+01 
   141 :  4.6753999e+00 -1.5273377e+01 
   142 :  1.5626943e+01 -1.1254547e+00 
   143 :  2.7887642e+00 -7.3059908e+00 
   144 :  1.1849877e+01 -1.1292054e+01 
   145 :  3.8830217e+00 -2.3757414e+00 
   146 :  8.0103956e+00 -2.5781725e+00 
   147 :  8.1395949e+00 -9.2453035e+00 
   148 :  1.6964153e+01 -3.2767895e+00 
   149 :  1.5579209e+01  2.0179541e+00 
   150 :  1.0347742e+01 -8.0104821e+00 
   151 :  1.0345913e+01 -6.6769531e+00 
   152 :  1.0410574e+01 -9.3072035e+00 
   153 :  1.0140707e+01  3.3514929e+00 
   154 :  6.1321682e+00 -1.6049325e+01 
   155 :  4.8263802e+00 -1.7039230e+01 
   156 :  1.6809615e+01 -6.2839012e+00 
   157 :  1.3245954e+00  5.0957645e-01 
   158 :  2.5428727e+00 -1.9299668e-01 
   159 :  1.4504950e+01  3.7007626e+00 
   160 :  1.4044001e+01 -9.3601752e+00 
   161 :  1.5425972e+01 -8.5525265e+00 
   162 :  2.6303309e+00 -1.6549165e+00 
   163 :  3.8363327e+00 -8.5646018e-01 
   164 :  3.7352191e+00  5.4234084e-01 
   165 :  5.0823449e+00 -4.6870392e-02 
   166 :  4.9934381e+00  1.3016417e+00 
   167 :  7.2071840e+00  4.6629165e+00 
   168 :  7.3046460e+00  3.0584678e+00 
   169 :  1.7627867e+01  2.2195623e+00 
   170 :  3.2493612e+00 -1.2737358e+01 
   171 :  3.3661384e+00 -1.1114843e+01 
   172 :  3.1817744e+00 -1.6062997e+01 
   173 :  5.2965163e+00 -1.7088526e+00 
   174 :  1.7054074e+01 -3.4024784e-01 
   175 :  6.5087397e+00 -6.4936854e-01 
   176 :  4.9420414e+00 -1.0292659e+01 
   177 :  3.4150140e+00 -9.5368290e+00 
   178 :  1.7275108e+00 -1.1751185e+01 
   179 :  1.8527571e+01 -2.5496729e+00 
   180 :  1.2875363e+01  4.7148058e+00 
   181 :  3.9471584e+00  3.0830305e+00 
   182 :  6.2122873e+00 -1.1314239e+01 
   183 :  1.3831161e+00 -2.5478707e+00 
   184 :  1.5057295e+00 -8.0668684e+00 
   185 :  1.8449992e+01 -1.0029981e+01 
   186 :  1.8456549e+01 -1.1795396e+01 
   187 :  1.7006885e+01 -1.0917074e+01 
   188 :  8.9747551e+00 -1.1381569e+01 
   189 :  1.4190778e+01 -1.8712790e+00 
   190 :  7.5620187e+00 -1.8418984e+01 
   191 :  1.0467682e+01 -1.5545947e+01 
   192 :  8.8886414e+00 -1.6206456e+01 
   193 :  1.6105934e+00 -1.5376529e+01 
   194 :  7.5421371e+00 -1.5307291e+01 
   195 :  1.4830894e+00 -6.5494774e+00 
   196 :  9.1547005e+00 -6.0000000e+00 
   197 :  1.8495342e+01 -1.3648925e+01 
   198 :  1.1591555e+01  1.1281242e+00 
   199 :  3.1817727e+00 -1.4442202e+01 
   200 :  1.2834867e+01 -2.5877991e+00 
   201 :  1.7984540e+01 -5.4751579e+00 
   202 :  1.6878018e+01 -9.2951202e+00 
   203 :  4.2009490e+00 -1.8592909e+01 
   204 :  1.1574410e+01  2.5896465e+00 
   205 :  1.5426714e+01 -7.0337683e+00 
   206 :  2.8126494e+00 -5.9531445e+00 
   207 :  1.8467501e+01 -1.7203549e+01 
   208 :  1.5797657e+00 -4.0010983e+00 
   209 :  1.8493807e+01 -1.5460261e+01 
   210 :  8.6887826e+00  4.0045548e+00 
   211 :  9.1162913e+00 -1.8648495e+00 
   212 :  9.3250944e+00 -1.8671309e+01 
   213 :  7.7665396e+00 -1.1409900e+00 
   214 :  2.6208884e+00 -1.8604075e+01 
   215 :  6.3623639e+00  7.6570806e-01 
   216 :  2.3064050e-01  1.3768400e+00 
   217 :  1.0003991e+01  4.9120588e+00 
   218 :  1.4113743e+01 -3.3035541e+00 
   219 :  1.5610469e+01 -1.0174209e+01 
   220 :  1.1596935e+01 -6.0643618e+00 
   221 :  1.0317791e+01 -5.3142407e+00 
   222 :  7.4955689e+00 -1.6815670e+01 
   223 :  1.9569289e+01  1.5689379e+00 
   224 :  4.6795789e+00 -9.0415104e+00 
   225 :  1.6831162e+01  9.5484707e-01 
   226 :  1.3262558e+01 -1.0588962e+01 
   227 :  7.6394399e+00 -1.0434954e+01 
   228 :  1.8184740e+01 -4.0284110e+00 
   229 :  7.5581209e+00  1.6170237e+00 
   230 :  1.1528902e+01 -7.4254562e+00 
   231 :  1.5614685e+01 -2.5613228e+00 
   232 :  1.7060458e+01 -1.8098796e+00 
   233 :  9.5363238e+00  6.1247074e+00 
   234 :  1.0467339e+01  6.1269139e+00 
   235 :  1.6831814e+01 -7.7349640e+00 
   236 :  6.7706653e+00 -1.9946722e+00 
   237 :  1.1991698e+01 -9.7558168e+00 
   238 :  9.0983292e+00 -9.9604084e+00 
   239 :  1.1390286e+01 -8.5640254e+00 
   240 :  1.1508442e+01  4.0586202e+00 
   241 :  1.6217405e+01  3.3376558e+00 
   242 :  1.0465292e+01 -1.0628472e+01 
   243 :  6.1593292e+00  2.1821969e+00 
   244 : -1.0467827e+00  1.2511937e+00 
   245 :  1.2910472e+01  3.2217307e+00 
   246 :  2.0805525e+01  1.1637876e+00 
   247 :  2.7119955e+00 -8.5593233e+00 
   248 :  1.8289501e+01 -1.8650416e+01 
   249 :  1.5807938e+01 -1.1563736e+01 
   250 :  1.4026917e+01  2.3789105e+00 
   251 :  2.4455096e+00  1.0809510e+00 
   252 :  3.3206811e+00 -1.7478282e+01 
   253 :  1.8331351e+01 -6.7648790e+00 
   254 :  1.0740144e+01 -1.8739291e+01 
   255 :  1.2676087e+00 -1.8703898e+01 
   256 :  3.6545989e+00  1.8487676e+00 
   257 :  1.7441608e+00 -5.3249865e+00 
   258 :  4.9242858e+00 -2.9972345e+00 
   259 :  1.2970994e+01 -1.1784699e+01 
   260 : -3.3333333e+00  5.0000000e-01 
   261 :  2.3333333e+01  5.0000000e-01 
   262 :  7.0465886e+00 -9.0196034e+00 
   263 :  7.0895455e+00 -3.0836288e+00 
   264 :  1.4625866e+00  1.7357952e+00 
   265 :  8.5677097e+00 -1.7547238e+01 
   266 :  6.3314866e+00 -1.7344640e+01 
   267 :  5.0769598e+00  2.5790178e+00 
   268 :  6.4110450e+00 -1.0091344e+01 
Number of edges 80 
     0 :      0     18 
     1 :     18     19 
     2 :     19     20 
     3 :     20     21 
     4 :     21     22 
     5 :     22     23 
     6 :     23     24 
     7 :     24     25 
     8 :     25     26 
     9 :     26     27 
    10 :     27      1 
    11 :      2     28 
    12 :     28     29 
    13 :     29      0 
    14 :      1     30 
    15 :     30     31 
    16 :     31     32 
    17 :     32     33 
    18 :     33     34 
    19 :     34     35 
    20 :     35      3 
    21 :      4      2 
    22 :      3     36 
    23 :     36     37 
    24 :     37     38 
    25 :     38      5 
    26 :      6     39 
    27 :     39     40 
    28 :     40     41 
    29 :     41     42 
    30 :     42     43 
    31 :     43     44 
    32 :     44     45 
    33 :     45      4 
    34 :      5     46 
    35 :     46     47 
    36 :     47      7 
    37 :      8     48 
    38 :     48      6 
    39 :      7     49 
    40 :     49     50 
    41 :     50     51 
    42 :     51      9 
    43 :     10     52 
    44 :     52     53 
    45 :     53     54 
    46 :     54     55 
    47 :     55     56 
    48 :     56     57 
    49 :     57     58 
    50 :     58      8 
    51 :      9     59 
    52 :     59     11 
    53 :     12     10 
    54 :     11     60 
    55 :     60     61 
    56 :     61     62 
    57 :     62     63 
    58 :     63     64 
    59 :     64     65 
    60 :     65     66 
    61 :     66     67 
    62 :     67     68 
    63 :     68     69 
    64 :     69     13 
    65 :     13     70 
    66 :     70     71 
    67 :     71     12 
    68 :     14     72 
    69 :     72     73 
    70 :     73     15 
    71 :     15     74 
    72 :     74     75 
    73 :     75     16 
    74 :     16     76 
    75 :     76     77 
    76 :     77     17 
    77 :     17     78 
    78 :     78     79 
    79 :     79     14 
Number of triangles 458 
     0 :     29     45     28
     1 :     71     52     70
     2 :    135    223    169
     3 :    171    177    129
     4 :    145    163    162
     5 :    201    253     67
     6 :    169    223     54
     7 :    152    242    237
     8 :     52    261     10
     9 :      4    260     45
    10 :    145    162    138
    11 :     67    253     66
    12 :     60    248     11
    13 :    177    247    129
    14 :    129    178    171
    15 :    145    173    163
    16 :    135    174     83
    17 :    237    242    144
    18 :    231    232    142
    19 :     68    228     67
    20 :     52    246     70
    21 :     29    244     45
    22 :    133    210    168
    23 :     39     96      6
    24 :     18    105      0
    25 :     67    228    201
    26 :    170    178     94
    27 :    143    195    184
    28 :    129    247    184
    29 :    135    225    174
    30 :     89    236    173
    31 :     97    168    167
    32 :    168    210    167
    33 :    173    236    175
    34 :    148    232    231
    35 :     97    167     40
    36 :    159    250    149
    37 :     13     83     69
    38 :    149    241    159
    39 :     20    257    208
    40 :    160    226     85
    41 :     85    219    160
    42 :    155    203     86
    43 :    105    157      0
    44 :     94    178     24
    45 :    193    199     94
    46 :    188    238    227
    47 :     20    208     19
    48 :     94    199    170
    49 :      8    121     58
    50 :    169    241    149
    51 :    149    225    169
    52 :    184    195     21
    53 :    169    225    135
    54 :    162    183    138
    55 :     24    178     23
    56 :    124    237    160
    57 :     71    261     52
    58 :     45    260     28
